"Step","sample_1M - val_acc_epoch","sample_1M - val_acc_epoch__MIN","sample_1M - val_acc_epoch__MAX","sample_100k - val_acc_epoch","sample_100k - val_acc_epoch__MIN","sample_100k - val_acc_epoch__MAX","sample_10k - val_acc_epoch","sample_10k - val_acc_epoch__MIN","sample_10k - val_acc_epoch__MAX","sample_2k - val_acc_epoch","sample_2k - val_acc_epoch__MIN","sample_2k - val_acc_epoch__MAX"
"14","0.7308552861213684","0.7308552861213684","0.7308552861213684","0.72976154088974","0.72976154088974","0.72976154088974","0.7315489053726196","0.7315489053726196","0.7315489053726196","","",""
"16","","","","","","","","","","0.732982337474823","0.732982337474823","0.732982337474823"
"31","0.7425487637519836","0.7425487637519836","0.7425487637519836","0.7456885576248169","0.7456885576248169","0.7456885576248169","0.7474508285522461","0.7474508285522461","0.7474508285522461","","",""
"35","","","","","","","","","","0.7526647448539734","0.7526647448539734","0.7526647448539734"
"48","0.761730968952179","0.761730968952179","0.761730968952179","0.7632632851600647","0.7632632851600647","0.7632632851600647","0.7651233077049255","0.7651233077049255","0.7651233077049255","","",""
"55","","","","","","","","","","0.7756911516189575","0.7756911516189575","0.7756911516189575"
"65","0.785889208316803","0.785889208316803","0.785889208316803","0.7817744612693787","0.7817744612693787","0.7817744612693787","0.7897834181785583","0.7897834181785583","0.7897834181785583","","",""
"72","","","","","","","","","","0.8256310224533081","0.8256310224533081","0.8256310224533081"
"82","0.8304862976074219","0.8304862976074219","0.8304862976074219","0.8365972638130188","0.8365972638130188","0.8365972638130188","0.8363682627677917","0.8363682627677917","0.8363682627677917","","",""
"92","","","","","","","","","","0.9112757444381714","0.9112757444381714","0.9112757444381714"
"99","0.903365969657898","0.903365969657898","0.903365969657898","0.9010865092277527","0.9010865092277527","0.9010865092277527","0.9106210470199585","0.9106210470199585","0.9106210470199585","","",""
"111","","","","","","","","","","0.9452944397926331","0.9452944397926331","0.9452944397926331"
"116","0.9349352121353149","0.9349352121353149","0.9349352121353149","0.9324696660041809","0.9324696660041809","0.9324696660041809","0.9389214515686035","0.9389214515686035","0.9389214515686035","","",""
"129","","","","","","","","","","0.9606648683547974","0.9606648683547974","0.9606648683547974"
"133","0.9508423805236816","0.9508423805236816","0.9508423805236816","0.9487709403038025","0.9487709403038025","0.9487709403038025","0.9524223208427429","0.9524223208427429","0.9524223208427429","","",""
"148","","","","","","","","","","0.966738760471344","0.966738760471344","0.966738760471344"
"150","0.9582196474075317","0.9582196474075317","0.9582196474075317","0.9592024683952332","0.9592024683952332","0.9592024683952332","0.9609260559082031","0.9609260559082031","0.9609260559082031","","",""
