"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"54","","","","","","","","","","","","","","","","","","","635","635","635","0.507004976272583","0.507004976272583","0.507004976272583","170","170","170","0.5224046111106873","0.5224046111106873","0.5224046111106873"
"55","","","","","","","182","182","182","0.5250338315963745","0.5250338315963745","0.5250338315963745","","","","","","","650","650","650","0.5043006539344788","0.5043006539344788","0.5043006539344788","","","","","",""
"56","","","","","","","","","","","","","168","168","168","0.523268461227417","0.523268461227417","0.523268461227417","","","","","","","","","","","",""
"57","","","","","","","","","","","","","","","","","","","664","664","664","0.5020657777786255","0.5020657777786255","0.5020657777786255","","","","","",""
"58","","","","","","","","","","","","","","","","","","","679","679","679","0.49969953298568726","0.49969953298568726","0.49969953298568726","","","","","",""
"60","","","","","","","","","","","","","","","","","","","710","710","710","0.496826171875","0.496826171875","0.496826171875","","","","","",""
"61","","","","","","","","","","","","","","","","","","","725","725","725","0.49423453211784363","0.49423453211784363","0.49423453211784363","","","","","",""
"62","","","","","","","213","213","213","0.5145169496536255","0.5145169496536255","0.5145169496536255","","","","","","","","","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","739","739","739","0.4913236200809479","0.4913236200809479","0.4913236200809479","202","202","202","0.5101975798606873","0.5101975798606873","0.5101975798606873"
"64","","","","","","","","","","","","","","","","","","","754","754","754","0.4886380732059479","0.4886380732059479","0.4886380732059479","","","","","",""
"65","","","","","","","","","","","","","199","199","199","0.5110802054405212","0.5110802054405212","0.5110802054405212","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","768","768","768","0.485595703125","0.485595703125","0.485595703125","","","","","",""
"67","","","","","","","","","","","","","","","","","","","783","783","783","0.4827035665512085","0.4827035665512085","0.4827035665512085","","","","","",""
"69","","","","","","","","","","","","","","","","","","","811","811","811","0.48013070225715637","0.48013070225715637","0.48013070225715637","","","","","",""
"70","","","","","","","244","244","244","0.505295991897583","0.505295991897583","0.505295991897583","","","","","","","844","844","844","0.47735124826431274","0.47735124826431274","0.47735124826431274","","","","","",""
"72","","","","","","","","","","","","","","","","","","","858","858","858","0.4744966924190521","0.4744966924190521","0.4744966924190521","233","233","233","0.4971829950809479","0.4971829950809479","0.4971829950809479"
