"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"564","","","","","","","","","","","","","","","","","","","6687","6687","6687","0.074554443359375","0.074554443359375","0.074554443359375","","","","","",""
"565","","","","","","","","","","","","","","","","","","","6702","6702","6702","0.07442533224821091","0.07442533224821091","0.07442533224821091","","","","","",""
"566","","","","","","","1959","1959","1959","0.07541597634553909","0.07541597634553909","0.07541597634553909","","","","","","","","","","","","","","","","","",""
"567","","","","","","","","","","","","","1825","1825","1825","0.07481971383094788","0.07481971383094788","0.07481971383094788","6716","6716","6716","0.07469294965267181","0.07469294965267181","0.07469294965267181","1864","1864","1864","0.07476337254047394","0.07476337254047394","0.07476337254047394"
"568","","","","","","","","","","","","","","","","","","","6731","6731","6731","0.07475163042545319","0.07475163042545319","0.07475163042545319","","","","","",""
"570","","","","","","","","","","","","","","","","","","","6762","6762","6762","0.07456383109092712","0.07456383109092712","0.07456383109092712","","","","","",""
"571","","","","","","","","","","","","","","","","","","","6777","6777","6777","0.07445584982633591","0.07445584982633591","0.07445584982633591","","","","","",""
"573","","","","","","","","","","","","","","","","","","","6791","6791","6791","0.07454740256071091","0.07454740256071091","0.07454740256071091","","","","","",""
"574","","","","","","","1990","1990","1990","0.07458965480327606","0.07458965480327606","0.07458965480327606","","","","","","","6806","6806","6806","0.07459669560194016","0.07459669560194016","0.07459669560194016","","","","","",""
"576","","","","","","","","","","","","","1856","1856","1856","0.07388775050640106","0.07388775050640106","0.07388775050640106","6820","6820","6820","0.07420701533555984","0.07420701533555984","0.07420701533555984","1895","1895","1895","0.07391826808452606","0.07391826808452606","0.07391826808452606"
"577","","","","","","","","","","","","","","","","","","","6835","6835","6835","0.07463660836219788","0.07463660836219788","0.07463660836219788","","","","","",""
"579","","","","","","","","","","","","","","","","","","","6863","6863","6863","0.07426570355892181","0.07426570355892181","0.07426570355892181","","","","","",""
"580","","","","","","","","","","","","","","","","","","","6896","6896","6896","0.07443941384553909","0.07443941384553909","0.07443941384553909","","","","","",""
"582","","","","","","","2021","2021","2021","0.07384549826383591","0.07384549826383591","0.07384549826383591","","","","","","","6910","6910","6910","0.07432438433170319","0.07432438433170319","0.07432438433170319","","","","","",""
"583","","","","","","","","","","","","","","","","","","","6925","6925","6925","0.07427743822336197","0.07427743822336197","0.07427743822336197","","","","","",""
"585","","","","","","","","","","","","","","","","","","","6939","6939","6939","0.07429622113704681","0.07429622113704681","0.07429622113704681","1927","1927","1927","0.07303091138601303","0.07303091138601303","0.07303091138601303"
"586","","","","","","","","","","","","","1887","1887","1887","0.07293701171875","0.07293701171875","0.07293701171875","6954","6954","6954","0.07438777387142181","0.07438777387142181","0.07438777387142181","","","","","",""
"588","","","","","","","","","","","","","","","","","","","6968","6968","6968","0.07439716160297394","0.07439716160297394","0.07439716160297394","","","","","",""
"589","","","","","","","","","","","","","","","","","","","6998","6998","6998","0.07427978515625","0.07427978515625","0.07427978515625","","","","","",""
"590","","","","","","","2052","2052","2052","0.07308021187782288","0.07308021187782288","0.07308021187782288","","","","","","","","","","","","","","","","","",""
"591","","","","","","","","","","","","","","","","","","","7014","7014","7014","0.07434786111116409","0.07434786111116409","0.07434786111116409","","","","","",""
"592","","","","","","","","","","","","","","","","","","","7029","7029","7029","0.07439246773719788","0.07439246773719788","0.07439246773719788","","","","","",""
"594","","","","","","","","","","","","","","","","","","","7043","7043","7043","0.07421640306711197","0.07421640306711197","0.07421640306711197","1958","1958","1958","0.07232196629047394","0.07232196629047394","0.07232196629047394"
"595","","","","","","","","","","","","","1918","1918","1918","0.07214590162038803","0.07214590162038803","0.07214590162038803","7058","7058","7058","0.07431499660015106","0.07431499660015106","0.07431499660015106","","","","","",""
"597","","","","","","","","","","","","","","","","","","","7072","7072","7072","0.07425161451101303","0.07425161451101303","0.07425161451101303","","","","","",""
"598","","","","","","","2066","2066","2066","0.07227735966444016","0.07227735966444016","0.07227735966444016","","","","","","","7087","7087","7087","0.07419996708631516","0.07419996708631516","0.07419996708631516","","","","","",""
"600","","","","","","","","","","","","","","","","","","","7118","7118","7118","0.07443941384553909","0.07443941384553909","0.07443941384553909","","","","","",""
"601","","","","","","","","","","","","","","","","","","","7133","7133","7133","0.07405677437782288","0.07405677437782288","0.07405677437782288","","","","","",""
"603","","","","","","","","","","","","","","","","","","","7147","7147","7147","0.07415067404508591","0.07415067404508591","0.07415067404508591","1990","1990","1990","0.07154493778944016","0.07154493778944016","0.07154493778944016"
"604","","","","","","","","","","","","","1949","1949","1949","0.07120455056428909","0.07120455056428909","0.07120455056428909","7162","7162","7162","0.07413893193006516","0.07413893193006516","0.07413893193006516","","","","","",""
"606","","","","","","","2097","2097","2097","0.07146982103586197","0.07146982103586197","0.07146982103586197","","","","","","","7176","7176","7176","0.07459669560194016","0.07459669560194016","0.07459669560194016","","","","","",""
"607","","","","","","","","","","","","","","","","","","","7191","7191","7191","0.07411076128482819","0.07411076128482819","0.07411076128482819","","","","","",""
"609","","","","","","","","","","","","","","","","","","","7219","7219","7219","0.07429856806993484","0.07429856806993484","0.07429856806993484","","","","","",""
"610","","","","","","","","","","","","","","","","","","","7252","7252","7252","0.07424222677946091","0.07424222677946091","0.07424222677946091","","","","","",""
"612","","","","","","","","","","","","","","","","","","","7266","7266","7266","0.07407320290803909","0.07407320290803909","0.07407320290803909","2021","2021","2021","0.07078199833631516","0.07078199833631516","0.07078199833631516"
"613","","","","","","","","","","","","","","","","","","","7281","7281","7281","0.07450279593467712","0.07450279593467712","0.07450279593467712","","","","","",""
"614","","","","","","","2128","2128","2128","0.07069984078407288","0.07069984078407288","0.07069984078407288","1980","1980","1980","0.07036649435758591","0.07036649435758591","0.07036649435758591","","","","","","","","","","","",""
"615","","","","","","","","","","","","","","","","","","","7295","7295","7295","0.07408494502305984","0.07408494502305984","0.07408494502305984","","","","","",""
"616","","","","","","","","","","","","","","","","","","","7310","7310","7310","0.07418588548898697","0.07418588548898697","0.07418588548898697","","","","","",""
"618","","","","","","","","","","","","","","","","","","","7324","7324","7324","0.07436664402484894","0.07436664402484894","0.07436664402484894","","","","","",""
"619","","","","","","","","","","","","","","","","","","","7354","7354","7354","0.07430091500282288","0.07430091500282288","0.07430091500282288","","","","","",""
"621","","","","","","","","","","","","","","","","","","","7370","7370","7370","0.07398399710655212","0.07398399710655212","0.07398399710655212","2053","2053","2053","0.07006131857633591","0.07006131857633591","0.07006131857633591"
"622","","","","","","","2159","2159","2159","0.07002845406532288","0.07002845406532288","0.07002845406532288","","","","","","","7385","7385","7385","0.07434316724538803","0.07434316724538803","0.07434316724538803","","","","","",""
"623","","","","","","","","","","","","","2011","2011","2011","0.06969510763883591","0.06969510763883591","0.06969510763883591","","","","","","","","","","","",""
"624","","","","","","","","","","","","","","","","","","","7399","7399","7399","0.07427274435758591","0.07427274435758591","0.07427274435758591","","","","","",""
"625","","","","","","","","","","","","","","","","","","","7414","7414","7414","0.07410841435194016","0.07410841435194016","0.07410841435194016","","","","","",""
"627","","","","","","","","","","","","","","","","","","","7428","7428","7428","0.07430091500282288","0.07430091500282288","0.07430091500282288","","","","","",""
"628","","","","","","","","","","","","","","","","","","","7443","7443","7443","0.07408494502305984","0.07408494502305984","0.07408494502305984","","","","","",""
"629","","","","","","","2190","2190","2190","0.06940636038780212","0.06940636038780212","0.06940636038780212","","","","","","","","","","","","","","","","","",""
"630","","","","","","","","","","","","","","","","","","","7474","7474","7474","0.07422344386577606","0.07422344386577606","0.07422344386577606","2084","2084","2084","0.06933359056711197","0.06933359056711197","0.06933359056711197"
"631","","","","","","","","","","","","","","","","","","","7489","7489","7489","0.07436429709196091","0.07436429709196091","0.07436429709196091","","","","","",""
"632","","","","","","","","","","","","","2042","2042","2042","0.06888990849256516","0.06888990849256516","0.06888990849256516","","","","","","","","","","","",""
"633","","","","","","","","","","","","","","","","","","","7503","7503","7503","0.07435255497694016","0.07435255497694016","0.07435255497694016","","","","","",""
"634","","","","","","","","","","","","","","","","","","","7518","7518","7518","0.07403799146413803","0.07403799146413803","0.07403799146413803","","","","","",""
"636","","","","","","","","","","","","","","","","","","","7532","7532","7532","0.07441359013319016","0.07441359013319016","0.07441359013319016","","","","","",""
"637","","","","","","","2204","2204","2204","0.06876079738140106","0.06876079738140106","0.06876079738140106","","","","","","","7547","7547","7547","0.07462486624717712","0.07462486624717712","0.07462486624717712","","","","","",""
"639","","","","","","","","","","","","","","","","","","","7575","7575","7575","0.07406850904226303","0.07406850904226303","0.07406850904226303","2105","2105","2105","0.06880540400743484","0.06880540400743484","0.06880540400743484"
"640","","","","","","","","","","","","","","","","","","","7608","7608","7608","0.07419996708631516","0.07419996708631516","0.07419996708631516","","","","","",""
"642","","","","","","","","","","","","","2073","2073","2073","0.06824199855327606","0.06824199855327606","0.06824199855327606","7622","7622","7622","0.07450984418392181","0.07450984418392181","0.07450984418392181","","","","","",""
"643","","","","","","","","","","","","","","","","","","","7637","7637","7637","0.07455209642648697","0.07455209642648697","0.07455209642648697","","","","","",""
"645","","","","","","","2235","2235","2235","0.06818096339702606","0.06818096339702606","0.06818096339702606","","","","","","","7651","7651","7651","0.074310302734375","0.074310302734375","0.074310302734375","","","","","",""
"646","","","","","","","","","","","","","","","","","","","7666","7666","7666","0.07419996708631516","0.07419996708631516","0.07419996708631516","","","","","",""
"648","","","","","","","","","","","","","","","","","","","7680","7680","7680","0.07463660836219788","0.07463660836219788","0.07463660836219788","2130","2130","2130","0.06813167035579681","0.06813167035579681","0.06813167035579681"
"649","","","","","","","","","","","","","","","","","","","7710","7710","7710","0.07469294965267181","0.07469294965267181","0.07469294965267181","","","","","",""
"651","","","","","","","","","","","","","2104","2104","2104","0.06737811863422394","0.06737811863422394","0.06737811863422394","7726","7726","7726","0.07432203739881516","0.07432203739881516","0.07432203739881516","","","","","",""
"652","","","","","","","","","","","","","","","","","","","7741","7741","7741","0.07457322627305984","0.07457322627305984","0.07457322627305984","","","","","",""
"653","","","","","","","2266","2266","2266","0.06755887717008591","0.06755887717008591","0.06755887717008591","","","","","","","","","","","","","","","","","",""
"654","","","","","","","","","","","","","","","","","","","7755","7755","7755","0.07489952445030212","0.07489952445030212","0.07489952445030212","","","","","",""
"655","","","","","","","","","","","","","","","","","","","7770","7770","7770","0.07442767918109894","0.07442767918109894","0.07442767918109894","","","","","",""
"657","","","","","","","","","","","","","","","","","","","7784","7784","7784","0.07452157884836197","0.07452157884836197","0.07452157884836197","2162","2162","2162","0.06749080121517181","0.06749080121517181","0.06749080121517181"
"658","","","","","","","","","","","","","","","","","","","7799","7799","7799","0.07473989576101303","0.07473989576101303","0.07473989576101303","","","","","",""
"660","","","","","","","","","","","","","2136","2136","2136","0.06677715480327606","0.06677715480327606","0.06677715480327606","7830","7830","7830","0.07482206076383591","0.07482206076383591","0.07482206076383591","","","","","",""
"661","","","","","","","2297","2297","2297","0.06689687818288803","0.06689687818288803","0.06689687818288803","","","","","","","7845","7845","7845","0.07455913722515106","0.07455913722515106","0.07455913722515106","","","","","",""
"663","","","","","","","","","","","","","","","","","","","7859","7859","7859","0.07479154318571091","0.07479154318571091","0.07479154318571091","","","","","",""
"664","","","","","","","","","","","","","","","","","","","7874","7874","7874","0.07476806640625","0.07476806640625","0.07476806640625","","","","","",""
"666","","","","","","","","","","","","","","","","","","","7888","7888","7888","0.07520470023155212","0.07520470023155212","0.07520470023155212","2193","2193","2193","0.06679828464984894","0.06679828464984894","0.06679828464984894"
"667","","","","","","","","","","","","","","","","","","","7903","7903","7903","0.07493473589420319","0.07493473589420319","0.07493473589420319","","","","","",""
"669","","","","","","","2317","2317","2317","0.06638746708631516","0.06638746708631516","0.06638746708631516","2162","2162","2162","0.06612689793109894","0.06612689793109894","0.06612689793109894","7931","7931","7931","0.07460609078407288","0.07460609078407288","0.07460609078407288","","","","","",""
"670","","","","","","","","","","","","","","","","","","","7964","7964","7964","0.07497230172157288","0.07497230172157288","0.07497230172157288","","","","","",""
"672","","","","","","","","","","","","","","","","","","","7978","7978","7978","0.07499577105045319","0.07499577105045319","0.07499577105045319","","","","","",""
"673","","","","","","","","","","","","","","","","","","","7993","7993","7993","0.07518592476844788","0.07518592476844788","0.07518592476844788","","","","","",""
"675","","","","","","","","","","","","","","","","","","","8007","8007","8007","0.07478919625282288","0.07478919625282288","0.07478919625282288","2225","2225","2225","0.06632877886295319","0.06632877886295319","0.06632877886295319"
"676","","","","","","","","","","","","","","","","","","","8022","8022","8022","0.07503098994493484","0.07503098994493484","0.07503098994493484","","","","","",""
"677","","","","","","","2342","2342","2342","0.06589214503765106","0.06589214503765106","0.06589214503765106","","","","","","","","","","","","","","","","","",""
"678","","","","","","","","","","","","","","","","","","","8036","8036","8036","0.07515540719032288","0.07515540719032288","0.07515540719032288","","","","","",""
"679","","","","","","","","","","","","","2183","2183","2183","0.06543438136577606","0.06543438136577606","0.06543438136577606","8066","8066","8066","0.07500281929969788","0.07500281929969788","0.07500281929969788","","","","","",""
"681","","","","","","","","","","","","","","","","","","","8082","8082","8082","0.075225830078125","0.075225830078125","0.075225830078125","","","","","",""
"682","","","","","","","","","","","","","","","","","","","8097","8097","8097","0.07517418265342712","0.07517418265342712","0.07517418265342712","","","","","",""
"684","","","","","","","","","","","","","","","","","","","8111","8111","8111","0.07519061863422394","0.07519061863422394","0.07519061863422394","2256","2256","2256","0.06573486328125","0.06573486328125","0.06573486328125"
"685","","","","","","","2373","2373","2373","0.06536865234375","0.06536865234375","0.06536865234375","","","","","","","8126","8126","8126","0.07549344748258591","0.07549344748258591","0.07549344748258591","","","","","",""
"687","","","","","","","","","","","","","","","","","","","8140","8140","8140","0.07526573538780212","0.07526573538780212","0.07526573538780212","","","","","",""
"688","","","","","","","","","","","","","2212","2212","2212","0.06487098336219788","0.06487098336219788","0.06487098336219788","8155","8155","8155","0.07518123090267181","0.07518123090267181","0.07518123090267181","","","","","",""
"690","","","","","","","","","","","","","","","","","","","8186","8186","8186","0.07562725245952606","0.07562725245952606","0.07562725245952606","","","","","",""
"691","","","","","","","","","","","","","","","","","","","8201","8201","8201","0.07526573538780212","0.07526573538780212","0.07526573538780212","","","","","",""
"692","","","","","","","2404","2404","2404","0.06488271802663803","0.06488271802663803","0.06488271802663803","","","","","","","","","","","","","","","","","",""
"693","","","","","","","","","","","","","","","","","","","8215","8215","8215","0.07550283521413803","0.07550283521413803","0.07550283521413803","2288","2288","2288","0.06525596976280212","0.06525596976280212","0.06525596976280212"
"694","","","","","","","","","","","","","","","","","","","8230","8230","8230","0.075531005859375","0.075531005859375","0.075531005859375","","","","","",""
"696","","","","","","","","","","","","","","","","","","","8244","8244","8244","0.075531005859375","0.075531005859375","0.075531005859375","","","","","",""
"697","","","","","","","","","","","","","2243","2243","2243","0.064208984375","0.064208984375","0.064208984375","8259","8259","8259","0.07589486986398697","0.07589486986398697","0.07589486986398697","","","","","",""
"699","","","","","","","","","","","","","","","","","","","8287","8287","8287","0.07547231763601303","0.07547231763601303","0.07547231763601303","","","","","",""
"700","","","","","","","2435","2435","2435","0.064361572265625","0.064361572265625","0.064361572265625","","","","","","","8320","8320","8320","0.07566951215267181","0.07566951215267181","0.07566951215267181","","","","","",""
"702","","","","","","","","","","","","","","","","","","","8334","8334","8334","0.07587608695030212","0.07587608695030212","0.07587608695030212","2319","2319","2319","0.06463388353586197","0.06463388353586197","0.06463388353586197"
"703","","","","","","","","","","","","","","","","","","","8349","8349","8349","0.07568359375","0.07568359375","0.07568359375","","","","","",""
"705","","","","","","","","","","","","","","","","","","","8363","8363","8363","0.07592304050922394","0.07592304050922394","0.07592304050922394","","","","","",""
"706","","","","","","","","","","","","","","","","","","","8378","8378","8378","0.07567889988422394","0.07567889988422394","0.07567889988422394","","","","","",""
"707","","","","","","","","","","","","","2274","2274","2274","0.06365732103586197","0.06365732103586197","0.06365732103586197","","","","","","","","","","","",""
"708","","","","","","","2449","2449","2449","0.06382399052381516","0.06382399052381516","0.06382399052381516","","","","","","","8392","8392","8392","0.07591834664344788","0.07591834664344788","0.07591834664344788","","","","","",""
"709","","","","","","","","","","","","","","","","","","","8422","8422","8422","0.07614839822053909","0.07614839822053909","0.07614839822053909","","","","","",""
"711","","","","","","","","","","","","","","","","","","","8438","8438","8438","0.07630802690982819","0.07630802690982819","0.07630802690982819","2351","2351","2351","0.06403526663780212","0.06403526663780212","0.06403526663780212"
"712","","","","","","","","","","","","","","","","","","","8453","8453","8453","0.07577045261859894","0.07577045261859894","0.07577045261859894","","","","","",""
"714","","","","","","","","","","","","","","","","","","","8467","8467","8467","0.07672823220491409","0.07672823220491409","0.07672823220491409","","","","","",""
"715","","","","","","","","","","","","","","","","","","","8482","8482","8482","0.07582444697618484","0.07582444697618484","0.07582444697618484","","","","","",""
"716","","","","","","","2480","2480","2480","0.06341787427663803","0.06341787427663803","0.06341787427663803","2305","2305","2305","0.06310331076383591","0.06310331076383591","0.06310331076383591","","","","","","","","","","","",""
"717","","","","","","","","","","","","","","","","","","","8496","8496","8496","0.07660146802663803","0.07660146802663803","0.07660146802663803","","","","","",""
"718","","","","","","","","","","","","","","","","","","","8511","8511","8511","0.075927734375","0.075927734375","0.075927734375","","","","","",""
"720","","","","","","","","","","","","","","","","","","","8542","8542","8542","0.07610145211219788","0.07610145211219788","0.07610145211219788","2382","2382","2382","0.06362680345773697","0.06362680345773697","0.06362680345773697"
"721","","","","","","","","","","","","","","","","","","","8557","8557","8557","0.07687143236398697","0.07687143236398697","0.07687143236398697","","","","","",""
"723","","","","","","","","","","","","","","","","","","","8571","8571","8571","0.07620708644390106","0.07620708644390106","0.07620708644390106","","","","","",""
"724","","","","","","","2511","2511","2511","0.06292255222797394","0.06292255222797394","0.06292255222797394","","","","","","","8586","8586","8586","0.07652635127305984","0.07652635127305984","0.07652635127305984","","","","","",""
"725","","","","","","","","","","","","","2336","2336","2336","0.06255164742469788","0.06255164742469788","0.06255164742469788","","","","","","","","","","","",""
"726","","","","","","","","","","","","","","","","","","","8600","8600","8600","0.07689960300922394","0.07689960300922394","0.07689960300922394","","","","","",""
"727","","","","","","","","","","","","","","","","","","","8615","8615","8615","0.07678457349538803","0.07678457349538803","0.07678457349538803","","","","","",""
"729","","","","","","","","","","","","","","","","","","","8643","8643","8643","0.07665780931711197","0.07665780931711197","0.07665780931711197","2403","2403","2403","0.06323946267366409","0.06323946267366409","0.06323946267366409"
"730","","","","","","","","","","","","","","","","","","","8676","8676","8676","0.07684326171875","0.07684326171875","0.07684326171875","","","","","",""
"732","","","","","","","2542","2542","2542","0.06243427097797394","0.06243427097797394","0.06243427097797394","","","","","","","8690","8690","8690","0.07643479853868484","0.07643479853868484","0.07643479853868484","","","","","",""
"733","","","","","","","","","","","","","","","","","","","8705","8705","8705","0.07716017216444016","0.07716017216444016","0.07716017216444016","","","","","",""
"735","","","","","","","","","","","","","2367","2367","2367","0.06204693019390106","0.06204693019390106","0.06204693019390106","8719","8719","8719","0.07706627249717712","0.07706627249717712","0.07706627249717712","","","","","",""
"736","","","","","","","","","","","","","","","","","","","8734","8734","8734","0.07660850882530212","0.07660850882530212","0.07660850882530212","","","","","",""
"738","","","","","","","","","","","","","","","","","","","8748","8748","8748","0.07766958326101303","0.07766958326101303","0.07766958326101303","2428","2428","2428","0.06265024095773697","0.06265024095773697","0.06265024095773697"
"739","","","","","","","","","","","","","","","","","","","8778","8778","8778","0.07708505541086197","0.07708505541086197","0.07708505541086197","","","","","",""
"740","","","","","","","2573","2573","2573","0.06196007505059242","0.06196007505059242","0.06196007505059242","","","","","","","","","","","","","","","","","",""
"741","","","","","","","","","","","","","","","","","","","8794","8794","8794","0.07722355425357819","0.07722355425357819","0.07722355425357819","","","","","",""
"742","","","","","","","","","","","","","","","","","","","8809","8809","8809","0.07739727199077606","0.07739727199077606","0.07739727199077606","","","","","",""
"744","","","","","","","","","","","","","2398","2398","2398","0.06160559877753258","0.06160559877753258","0.06160559877753258","8823","8823","8823","0.07725877314805984","0.07725877314805984","0.07725877314805984","","","","","",""
"745","","","","","","","","","","","","","","","","","","","8838","8838","8838","0.07772357761859894","0.07772357761859894","0.07772357761859894","","","","","",""
"747","","","","","","","","","","","","","","","","","","","8852","8852","8852","0.07749821245670319","0.07749821245670319","0.07749821245670319","2460","2460","2460","0.062225341796875","0.062225341796875","0.062225341796875"
"748","","","","","","","2587","2587","2587","0.06152109056711197","0.06152109056711197","0.06152109056711197","","","","","","","8867","8867","8867","0.07756160199642181","0.07756160199642181","0.07756160199642181","","","","","",""
"750","","","","","","","","","","","","","","","","","","","8898","8898","8898","0.07790903002023697","0.07790903002023697","0.07790903002023697","","","","","",""
"751","","","","","","","","","","","","","","","","","","","8913","8913","8913","0.07787147164344788","0.07787147164344788","0.07787147164344788","","","","","",""
"753","","","","","","","","","","","","","2430","2430","2430","0.06107271462678909","0.06107271462678909","0.06107271462678909","8927","8927","8927","0.07767193019390106","0.07767193019390106","0.07767193019390106","","","","","",""
"754","","","","","","","","","","","","","","","","","","","8942","8942","8942","0.07813908159732819","0.07813908159732819","0.07813908159732819","","","","","",""
"755","","","","","","","2618","2618","2618","0.06113140285015106","0.06113140285015106","0.06113140285015106","","","","","","","","","","","","","","","","","",""
"756","","","","","","","","","","","","","","","","","","","8956","8956","8956","0.07817430049180984","0.07817430049180984","0.07817430049180984","2491","2491","2491","0.06173940747976303","0.06173940747976303","0.06173940747976303"
"757","","","","","","","","","","","","","","","","","","","8971","8971","8971","0.07801466435194016","0.07801466435194016","0.07801466435194016","","","","","",""
"759","","","","","","","","","","","","","","","","","","","8999","8999","8999","0.07868839800357819","0.07868839800357819","0.07868839800357819","","","","","",""
"760","","","","","","","","","","","","","","","","","","","9032","9032","9032","0.07814847677946091","0.07814847677946091","0.07814847677946091","","","","","",""
"762","","","","","","","","","","","","","2461","2461","2461","0.060558613389730453","0.060558613389730453","0.060558613389730453","9046","9046","9046","0.07791841775178909","0.07791841775178909","0.07791841775178909","","","","","",""
"763","","","","","","","2649","2649","2649","0.06073232740163803","0.06073232740163803","0.06073232740163803","","","","","","","9061","9061","9061","0.07918138056993484","0.07918138056993484","0.07918138056993484","","","","","",""
"765","","","","","","","","","","","","","","","","","","","9075","9075","9075","0.07838322222232819","0.07838322222232819","0.07838322222232819","2523","2523","2523","0.06133329123258591","0.06133329123258591","0.06133329123258591"
"766","","","","","","","","","","","","","","","","","","","9090","9090","9090","0.07866492867469788","0.07866492867469788","0.07866492867469788","","","","","",""
"768","","","","","","","","","","","","","","","","","","","9104","9104","9104","0.07909686863422394","0.07909686863422394","0.07909686863422394","","","","","",""
"769","","","","","","","","","","","","","","","","","","","9134","9134","9134","0.07862032204866409","0.07862032204866409","0.07862032204866409","","","","","",""
"771","","","","","","","2680","2680","2680","0.060352031141519547","0.060352031141519547","0.060352031141519547","","","","","","","9150","9150","9150","0.07855928689241409","0.07855928689241409","0.07855928689241409","","","","","",""
"772","","","","","","","","","","","","","2492","2492","2492","0.06011023744940758","0.06011023744940758","0.06011023744940758","9165","9165","9165","0.07920955121517181","0.07920955121517181","0.07920955121517181","","","","","",""
"774","","","","","","","","","","","","","","","","","","","9179","9179","9179","0.07914381474256516","0.07914381474256516","0.07914381474256516","2554","2554","2554","0.060985859483480453","0.060985859483480453","0.060985859483480453"
"775","","","","","","","","","","","","","","","","","","","9194","9194","9194","0.07906869798898697","0.07906869798898697","0.07906869798898697","","","","","",""
"777","","","","","","","","","","","","","","","","","","","9208","9208","9208","0.07945603877305984","0.07945603877305984","0.07945603877305984","","","","","",""
"778","","","","","","","","","","","","","","","","","","","9223","9223","9223","0.07898653298616409","0.07898653298616409","0.07898653298616409","","","","","",""
"779","","","","","","","2704","2704","2704","0.05992713198065758","0.05992713198065758","0.05992713198065758","","","","","","","","","","","","","","","","","",""
"780","","","","","","","","","","","","","","","","","","","9254","9254","9254","0.07935978472232819","0.07935978472232819","0.07935978472232819","","","","","",""
"781","","","","","","","","","","","","","2523","2523","2523","0.05962430685758591","0.05962430685758591","0.05962430685758591","9269","9269","9269","0.07945369184017181","0.07945369184017181","0.07945369184017181","","","","","",""
"783","","","","","","","","","","","","","","","","","","","9283","9283","9283","0.07946073263883591","0.07946073263883591","0.07946073263883591","2586","2586","2586","0.060471754521131516","0.060471754521131516","0.060471754521131516"
"784","","","","","","","","","","","","","","","","","","","9298","9298","9298","0.07970252633094788","0.07970252633094788","0.07970252633094788","","","","","",""
"786","","","","","","","","","","","","","","","","","","","9312","9312","9312","0.07978233695030212","0.07978233695030212","0.07978233695030212","","","","","",""
"787","","","","","","","2725","2725","2725","0.059553880244493484","0.059553880244493484","0.059553880244493484","","","","","","","9327","9327","9327","0.07980816066265106","0.07980816066265106","0.07980816066265106","","","","","",""
"789","","","","","","","","","","","","","","","","","","","9355","9355","9355","0.08003117144107819","0.08003117144107819","0.08003117144107819","","","","","",""
"790","","","","","","","","","","","","","2554","2554","2554","0.05926748365163803","0.05926748365163803","0.05926748365163803","9388","9388","9388","0.08018375933170319","0.08018375933170319","0.08018375933170319","","","","","",""
"792","","","","","","","","","","","","","","","","","","","9402","9402","9402","0.07963914424180984","0.07963914424180984","0.07963914424180984","2617","2617","2617","0.06023935228586197","0.06023935228586197","0.06023935228586197"
"793","","","","","","","","","","","","","","","","","","","9417","9417","9417","0.08006873726844788","0.08006873726844788","0.08006873726844788","","","","","",""
"795","","","","","","","2756","2756","2756","0.059112548828125","0.059112548828125","0.059112548828125","","","","","","","9431","9431","9431","0.08014385402202606","0.08014385402202606","0.08014385402202606","","","","","",""
"796","","","","","","","","","","","","","","","","","","","9446","9446","9446","0.08025653660297394","0.08025653660297394","0.08025653660297394","","","","","",""
"798","","","","","","","","","","","","","","","","","","","9460","9460","9460","0.08042789995670319","0.08042789995670319","0.08042789995670319","","","","","",""
"799","","","","","","","","","","","","","","","","","","","9490","9490","9490","0.0804443359375","0.0804443359375","0.0804443359375","","","","","",""
"800","","","","","","","","","","","","","2585","2585","2585","0.058704081922769547","0.058704081922769547","0.058704081922769547","","","","","","","","","","","",""
"801","","","","","","","","","","","","","","","","","","","9506","9506","9506","0.08091618120670319","0.08091618120670319","0.08091618120670319","2649","2649","2649","0.05972759425640106","0.05972759425640106","0.05972759425640106"
"802","","","","","","","","","","","","","","","","","","","9521","9521","9521","0.08082228153944016","0.08082228153944016","0.08082228153944016","","","","","",""
"803","","","","","","","2787","2787","2787","0.05874868482351303","0.05874868482351303","0.05874868482351303","","","","","","","","","","","","","","","","","",""
"804","","","","","","","","","","","","","","","","","","","9535","9535","9535","0.08069786429405212","0.08069786429405212","0.08069786429405212","","","","","",""
"805","","","","","","","","","","","","","","","","","","","9550","9550","9550","0.08102182298898697","0.08102182298898697","0.08102182298898697","","","","","",""
