"Step","sample_1M - val/loss_epoch","sample_1M - val/loss_epoch__MIN","sample_1M - val/loss_epoch__MAX","sample_100k - val/loss_epoch","sample_100k - val/loss_epoch__MIN","sample_100k - val/loss_epoch__MAX","sample_10k - val/loss_epoch","sample_10k - val/loss_epoch__MIN","sample_10k - val/loss_epoch__MAX","sample_2k - val/loss_epoch","sample_2k - val/loss_epoch__MIN","sample_2k - val/loss_epoch__MAX"
"14","0.6168232560157776","0.6168232560157776","0.6168232560157776","0.6176447868347168","0.6176447868347168","0.6176447868347168","0.6181950569152832","0.6181950569152832","0.6181950569152832","","",""
"16","","","","","","","","","","0.610467791557312","0.610467791557312","0.610467791557312"
"31","0.586836576461792","0.586836576461792","0.586836576461792","0.5810624361038208","0.5810624361038208","0.5810624361038208","0.5777490735054016","0.5777490735054016","0.5777490735054016","","",""
"35","","","","","","","","","","0.566200852394104","0.566200852394104","0.566200852394104"
"48","0.5451931357383728","0.5451931357383728","0.5451931357383728","0.5452202558517456","0.5452202558517456","0.5452202558517456","0.5407056212425232","0.5407056212425232","0.5407056212425232","","",""
"55","","","","","","","","","","0.5175548791885376","0.5175548791885376","0.5175548791885376"
"65","0.4989730715751648","0.4989730715751648","0.4989730715751648","0.5044952630996704","0.5044952630996704","0.5044952630996704","0.4884982705116272","0.4884982705116272","0.4884982705116272","","",""
"72","","","","","","","","","","0.4169960618019104","0.4169960618019104","0.4169960618019104"
"82","0.4074939489364624","0.4074939489364624","0.4074939489364624","0.3983018696308136","0.3983018696308136","0.3983018696308136","0.3903149664402008","0.3903149664402008","0.3903149664402008","","",""
"92","","","","","","","","","","0.2340959757566452","0.2340959757566452","0.2340959757566452"
"99","","","","0.2607383131980896","0.2607383131980896","0.2607383131980896","0.2352256178855896","0.2352256178855896","0.2352256178855896","","",""
"111","","","","","","","","","","0.1503092497587204","0.1503092497587204","0.1503092497587204"
"116","0.1772480309009552","0.1772480309009552","0.1772480309009552","0.1853201687335968","0.1853201687335968","0.1853201687335968","0.1697126179933548","0.1697126179933548","0.1697126179933548","","",""
"129","","","","","","","","","","0.1107681542634964","0.1107681542634964","0.1107681542634964"
"133","0.1383017897605896","0.1383017897605896","0.1383017897605896","0.1445719450712204","0.1445719450712204","0.1445719450712204","0.134990394115448","0.134990394115448","0.134990394115448","","",""
"148","","","","","","","","","","0.0939786359667778","0.0939786359667778","0.0939786359667778"
"150","0.1195281520485878","0.1195281520485878","0.1195281520485878","0.1179393008351326","0.1179393008351326","0.1179393008351326","0.1126505509018898","0.1126505509018898","0.1126505509018898","","",""
"167","0.109074667096138","0.109074667096138","0.109074667096138","0.1035505011677742","0.1035505011677742","0.1035505011677742","0.0989079549908638","0.0989079549908638","0.0989079549908638","","",""
"168","","","","","","","","","","0.084909588098526","0.084909588098526","0.084909588098526"
"182","0.0984981507062912","0.0984981507062912","0.0984981507062912","0.0916525200009346","0.0916525200009346","0.0916525200009346","","","","","",""
"185","","","","","","","0.0922812819480896","0.0922812819480896","0.0922812819480896","","",""
"187","","","","","","","","","","0.0769023597240448","0.0769023597240448","0.0769023597240448"
"199","0.09271240234375","0.09271240234375","0.09271240234375","0.0863899365067482","0.0863899365067482","0.0863899365067482","","","","","",""
"202","","","","","","","0.0833856463432312","0.0833856463432312","0.0833856463432312","","",""
"205","","","","","","","","","","0.0733894482254982","0.0733894482254982","0.0733894482254982"
"216","0.0856381356716156","0.0856381356716156","0.0856381356716156","0.0830581933259964","0.0830581933259964","0.0830581933259964","","","","","",""
"219","","","","","","","0.0818655863404274","0.0818655863404274","0.0818655863404274","","",""
"224","","","","","","","","","","0.068410724401474","0.068410724401474","0.068410724401474"
