"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/acc_epoch","phase_reshape_10k_resumed - val/acc_epoch__MIN","phase_reshape_10k_resumed - val/acc_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/acc_epoch","phase_reshape_1M - val/acc_epoch__MIN","phase_reshape_1M - val/acc_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/acc_epoch","phase_reshape_10k - val/acc_epoch__MIN","phase_reshape_10k - val/acc_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/acc_epoch","phase_train500kids - val/acc_epoch__MIN","phase_train500kids - val/acc_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/acc_epoch","phase_train2402 - val/acc_epoch__MIN","phase_train2402 - val/acc_epoch__MAX"
"54","","","","","","","","","","","","","","","","","","","635","635","635","0.7577080130577087","0.7577080130577087","0.7577080130577087","170","170","170","0.7551952600479126","0.7551952600479126","0.7551952600479126"
"55","","","","","","","182","182","182","0.7549318075180054","0.7549318075180054","0.7549318075180054","","","","","","","650","650","650","0.7580298781394958","0.7580298781394958","0.7580298781394958","","","","","",""
"56","","","","","","","","","","","","","168","168","168","0.7550832033157349","0.7550832033157349","0.7550832033157349","","","","","","","","","","","",""
"57","","","","","","","","","","","","","","","","","","","664","664","664","0.7584245204925537","0.7584245204925537","0.7584245204925537","","","","","",""
"58","","","","","","","","","","","","","","","","","","","679","679","679","0.7589973211288452","0.7589973211288452","0.7589973211288452","","","","","",""
"60","","","","","","","","","","","","","","","","","","","710","710","710","0.7597465515136719","0.7597465515136719","0.7597465515136719","","","","","",""
"61","","","","","","","","","","","","","","","","","","","725","725","725","0.7606902718544006","0.7606902718544006","0.7606902718544006","","","","","",""
"62","","","","","","","213","213","213","0.7564519643783569","0.7564519643783569","0.7564519643783569","","","","","","","","","","","","","","","","","",""
"63","","","","","","","","","","","","","","","","","","","739","739","739","0.7618952393531799","0.7618952393531799","0.7618952393531799","202","202","202","0.756710410118103","0.756710410118103","0.756710410118103"
"64","","","","","","","","","","","","","","","","","","","754","754","754","0.7629261016845703","0.7629261016845703","0.7629261016845703","","","","","",""
"65","","","","","","","","","","","","","199","199","199","0.756646990776062","0.756646990776062","0.756646990776062","","","","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","768","768","768","0.7639912962913513","0.7639912962913513","0.7639912962913513","","","","","",""
"67","","","","","","","","","","","","","","","","","","","783","783","783","0.7650550603866577","0.7650550603866577","0.7650550603866577","","","","","",""
"69","","","","","","","","","","","","","","","","","","","811","811","811","0.7659119963645935","0.7659119963645935","0.7659119963645935","","","","","",""
"70","","","","","","","244","244","244","0.757404088973999","0.757404088973999","0.757404088973999","","","","","","","844","844","844","0.7667725682258606","0.7667725682258606","0.7667725682258606","","","","","",""
"72","","","","","","","","","","","","","","","","","","","858","858","858","0.7678130269050598","0.7678130269050598","0.7678130269050598","233","233","233","0.7592653036117554","0.7592653036117554","0.7592653036117554"
"73","","","","","","","","","","","","","","","","","","","873","873","873","0.7688880562782288","0.7688880562782288","0.7688880562782288","","","","","",""
"74","","","","","","","","","","","","","230","230","230","0.759109616279602","0.759109616279602","0.759109616279602","","","","","","","","","","","",""
"75","","","","","","","","","","","","","","","","","","","887","887","887","0.7700210809707642","0.7700210809707642","0.7700210809707642","","","","","",""
"76","","","","","","","","","","","","","","","","","","","902","902","902","0.7712615132331848","0.7712615132331848","0.7712615132331848","","","","","",""
"78","","","","","","","258","258","258","0.7605663537979126","0.7605663537979126","0.7605663537979126","","","","","","","916","916","916","0.7725708484649658","0.7725708484649658","0.7725708484649658","","","","","",""
"79","","","","","","","","","","","","","","","","","","","946","946","946","0.7738374471664429","0.7738374471664429","0.7738374471664429","","","","","",""
"81","","","","","","","","","","","","","","","","","","","962","962","962","0.7750654816627502","0.7750654816627502","0.7750654816627502","265","265","265","0.7637516856193542","0.7637516856193542","0.7637516856193542"
"82","","","","","","","","","","","","","","","","","","","977","977","977","0.7764629125595093","0.7764629125595093","0.7764629125595093","","","","","",""
"84","","","","","","","","","","","","","261","261","261","0.7636534571647644","0.7636534571647644","0.7636534571647644","991","991","991","0.7777649164199829","0.7777649164199829","0.7777649164199829","","","","","",""
"85","","","","","","","","","","","","","","","","","","","1006","1006","1006","0.7791011333465576","0.7791011333465576","0.7791011333465576","","","","","",""
"86","","","","","","","289","289","289","0.7643887400627136","0.7643887400627136","0.7643887400627136","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","1020","1020","1020","0.7804722189903259","0.7804722189903259","0.7804722189903259","","","","","",""
"88","","","","","","","","","","","","","","","","","","","1035","1035","1035","0.7818266153335571","0.7818266153335571","0.7818266153335571","","","","","",""
"90","","","","","","","","","","","","","","","","","","","1066","1066","1066","0.7832793593406677","0.7832793593406677","0.7832793593406677","296","296","296","0.7693033218383789","0.7693033218383789","0.7693033218383789"
"91","","","","","","","","","","","","","","","","","","","1081","1081","1081","0.7848985195159912","0.7848985195159912","0.7848985195159912","","","","","",""
"93","","","","","","","","","","","","","292","292","292","0.7682650089263916","0.7682650089263916","0.7682650089263916","1095","1095","1095","0.7865282297134399","0.7865282297134399","0.7865282297134399","","","","","",""
"94","","","","","","","320","320","320","0.7687473893165588","0.7687473893165588","0.7687473893165588","","","","","","","1110","1110","1110","0.7882848381996155","0.7882848381996155","0.7882848381996155","","","","","",""
"96","","","","","","","","","","","","","","","","","","","1124","1124","1124","0.7892165780067444","0.7892165780067444","0.7892165780067444","","","","","",""
"97","","","","","","","","","","","","","","","","","","","1139","1139","1139","0.7909735441207886","0.7909735441207886","0.7909735441207886","","","","","",""
"99","","","","","","","","","","","","","","","","","","","1167","1167","1167","0.7927880883216858","0.7927880883216858","0.7927880883216858","317","317","317","0.7749419808387756","0.7749419808387756","0.7749419808387756"
"100","","","","","","","","","","","","","","","","","","","1200","1200","1200","0.7946462631225586","0.7946462631225586","0.7946462631225586","","","","","",""
"102","","","","","","","351","351","351","0.7738472819328308","0.7738472819328308","0.7738472819328308","324","324","324","0.7747360467910767","0.7747360467910767","0.7747360467910767","1214","1214","1214","0.7964357137680054","0.7964357137680054","0.7964357137680054","","","","","",""
"103","","","","","","","","","","","","","","","","","","","1229","1229","1229","0.7983242273330688","0.7983242273330688","0.7983242273330688","","","","","",""
"105","","","","","","","","","","","","","","","","","","","1243","1243","1243","0.8002961277961731","0.8002961277961731","0.8002961277961731","","","","","",""
