ref	continent	sample	maf_bin	accuracy
REF	AFRICA	HGDP00993	[0.3, 0.51)	0.9158824948727228
REF	AFRICA	HGDP00994	[0.01, 0.03)	0.9838811819669976
REF	AFRICA	HGDP00994	[0.03, 0.06)	0.9706797600973393
REF	AFRICA	HGDP00994	[0.06, 0.1)	0.9689875503673225
REF	AFRICA	HGDP00994	[0.1, 0.18)	0.9510949156630658
REF	AFRICA	HGDP00994	[0.18, 0.3)	0.9552241648573495
REF	AFRICA	HGDP00994	[0.3, 0.51)	0.9377186632886959
REF	AFRICA	HGDP01086	[0.01, 0.03)	0.9659342103690959
REF	AFRICA	HGDP01086	[0.03, 0.06)	0.949069138913116
REF	AFRICA	HGDP01086	[0.06, 0.1)	0.9289382196281059
REF	AFRICA	HGDP01086	[0.1, 0.18)	0.9143019589600454
REF	AFRICA	HGDP01086	[0.18, 0.3)	0.9068106502114044
REF	AFRICA	HGDP01086	[0.3, 0.51)	0.8737684481441268
REF	AFRICA	HGDP01094	[0.01, 0.03)	0.9657191334791076
REF	AFRICA	HGDP01094	[0.03, 0.06)	0.9468940788836129
REF	AFRICA	HGDP01094	[0.06, 0.1)	0.9292890632475361
REF	AFRICA	HGDP01094	[0.1, 0.18)	0.9200737409762065
REF	AFRICA	HGDP01094	[0.18, 0.3)	0.9025063802232126
REF	AFRICA	HGDP01094	[0.3, 0.51)	0.8704709052157478
REF	AFRICA	HGDP01202	[0.01, 0.03)	0.9865815918079603
REF	AFRICA	HGDP01202	[0.03, 0.06)	0.9789277600111982
REF	AFRICA	HGDP01202	[0.06, 0.1)	0.9706354522161623
REF	AFRICA	HGDP01202	[0.1, 0.18)	0.9595372236867044
REF	AFRICA	HGDP01202	[0.18, 0.3)	0.9557098236392031
REF	AFRICA	HGDP01202	[0.3, 0.51)	0.9405738528974142
REF	AFRICA	HGDP01285	[0.01, 0.03)	0.9859363611379958
REF	AFRICA	HGDP01285	[0.03, 0.06)	0.9738131386546931
REF	AFRICA	HGDP01285	[0.06, 0.1)	0.9769293741162463
REF	AFRICA	HGDP01285	[0.1, 0.18)	0.9636808462983064
REF	AFRICA	HGDP01285	[0.18, 0.3)	0.9532720070087228
REF	AFRICA	HGDP01285	[0.3, 0.51)	0.9477419873728236
REF	AFRICA	HGDP01405	[0.01, 0.03)	0.9852552843196999
REF	AFRICA	HGDP01405	[0.03, 0.06)	0.9783893788157767
REF	AFRICA	HGDP01405	[0.06, 0.1)	0.9764190561243475
REF	AFRICA	HGDP01405	[0.1, 0.18)	0.9623455832945678
REF	AFRICA	HGDP01405	[0.18, 0.3)	0.961090161124443
REF	AFRICA	HGDP01405	[0.3, 0.51)	0.9460530019704829
REF	AFRICA	HGDP01415	[0.01, 0.03)	0.9845622587852935
REF	AFRICA	HGDP01415	[0.03, 0.06)	0.9780448148507068
REF	AFRICA	HGDP01415	[0.06, 0.1)	0.9652133235522385
REF	AFRICA	HGDP01415	[0.1, 0.18)	0.9526627728674559
REF	AFRICA	HGDP01415	[0.18, 0.3)	0.9499104864205995
REF	AFRICA	HGDP01415	[0.3, 0.51)	0.9330035790404954
REF	AFRICA	LP6005441-DNA_B02	[0.01, 0.03)	0.9788985673489383
REF	AFRICA	LP6005441-DNA_B02	[0.03, 0.06)	0.9770649610750396
REF	AFRICA	LP6005441-DNA_B02	[0.06, 0.1)	0.9747498910258455
REF	AFRICA	LP6005441-DNA_B02	[0.1, 0.18)	0.9577884598818076
REF	AFRICA	LP6005441-DNA_B02	[0.18, 0.3)	0.9530529844208281
