ref	continent	sample	maf_bin	accuracy
noREF	AFRICA	HGDP00993	[0.1, 0.18)	0.9269912647955755
noREF	AFRICA	HGDP00993	[0.18, 0.3)	0.9133241915209691
noREF	AFRICA	HGDP00993	[0.3, 0.51)	0.8933727429927212
noREF	AFRICA	HGDP00994	[0.01, 0.03)	0.9790539006583744
noREF	AFRICA	HGDP00994	[0.03, 0.06)	0.9609673633319336
noREF	AFRICA	HGDP00994	[0.06, 0.1)	0.9534228516144121
noREF	AFRICA	HGDP00994	[0.1, 0.18)	0.9328147344118813
noREF	AFRICA	HGDP00994	[0.18, 0.3)	0.9331504970860472
noREF	AFRICA	HGDP00994	[0.3, 0.51)	0.9152692323159207
noREF	AFRICA	HGDP01086	[0.01, 0.03)	0.9625407749937269
noREF	AFRICA	HGDP01086	[0.03, 0.06)	0.9406811598884475
noREF	AFRICA	HGDP01086	[0.06, 0.1)	0.9202309188913342
noREF	AFRICA	HGDP01086	[0.1, 0.18)	0.9034906359297737
noREF	AFRICA	HGDP01086	[0.18, 0.3)	0.8963642250409478
noREF	AFRICA	HGDP01086	[0.3, 0.51)	0.8589496119354969
noREF	AFRICA	HGDP01094	[0.01, 0.03)	0.9632696466764646
noREF	AFRICA	HGDP01094	[0.03, 0.06)	0.9421240214921772
noREF	AFRICA	HGDP01094	[0.06, 0.1)	0.923664933711819
noREF	AFRICA	HGDP01094	[0.1, 0.18)	0.9131131441567167
noREF	AFRICA	HGDP01094	[0.18, 0.3)	0.8931455452710166
noREF	AFRICA	HGDP01094	[0.3, 0.51)	0.8610206297502715
noREF	AFRICA	HGDP01202	[0.01, 0.03)	0.9819454899571041
noREF	AFRICA	HGDP01202	[0.03, 0.06)	0.9701306112780093
noREF	AFRICA	HGDP01202	[0.06, 0.1)	0.9571332886805091
noREF	AFRICA	HGDP01202	[0.1, 0.18)	0.9411192088351338
noREF	AFRICA	HGDP01202	[0.18, 0.3)	0.9392164704986096
noREF	AFRICA	HGDP01202	[0.3, 0.51)	0.9164153295532231
noREF	AFRICA	HGDP01285	[0.01, 0.03)	0.9829013872459404
noREF	AFRICA	HGDP01285	[0.03, 0.06)	0.9650159899215041
noREF	AFRICA	HGDP01285	[0.06, 0.1)	0.9680944938814999
noREF	AFRICA	HGDP01285	[0.1, 0.18)	0.9473734084526454
noREF	AFRICA	HGDP01285	[0.18, 0.3)	0.9353597684074201
noREF	AFRICA	HGDP01285	[0.3, 0.51)	0.9229400410182169
noREF	AFRICA	HGDP01405	[0.01, 0.03)	0.9807864644943902
noREF	AFRICA	HGDP01405	[0.03, 0.06)	0.9688169611611807
noREF	AFRICA	HGDP01405	[0.06, 0.1)	0.9585791896575553
noREF	AFRICA	HGDP01405	[0.1, 0.18)	0.942695680639548
noREF	AFRICA	HGDP01405	[0.18, 0.3)	0.9376928351045595
noREF	AFRICA	HGDP01405	[0.3, 0.51)	0.9221056018015843
noREF	AFRICA	HGDP01415	[0.01, 0.03)	0.981336105435471
noREF	AFRICA	HGDP01415	[0.03, 0.06)	0.971670381496915
noREF	AFRICA	HGDP01415	[0.06, 0.1)	0.9546029619706781
noREF	AFRICA	HGDP01415	[0.1, 0.18)	0.9372943264244241
noREF	AFRICA	HGDP01415	[0.18, 0.3)	0.9328838608920884
noREF	AFRICA	HGDP01415	[0.3, 0.51)	0.9131077331403064
noREF	AFRICA	LP6005441-DNA_B02	[0.01, 0.03)	0.9754453883930171
noREF	AFRICA	LP6005441-DNA_B02	[0.03, 0.06)	0.9654574625017498
noREF	AFRICA	LP6005441-DNA_B02	[0.06, 0.1)	0.963809949074517
noREF	AFRICA	LP6005441-DNA_B02	[0.1, 0.18)	0.9448751744456505
noREF	AFRICA	LP6005441-DNA_B02	[0.18, 0.3)	0.9372262217651317
noREF	AFRICA	LP6005441-DNA_B02	[0.3, 0.51)	0.928831382957333
noREF	AFRICA	LP6005441-DNA_B11	[0.01, 0.03)	0.9527667252153756
noREF	AFRICA	LP6005441-DNA_B11	[0.03, 0.06)	0.908873598862939
noREF	AFRICA	LP6005441-DNA_B11	[0.06, 0.1)	0.8983510349886773
noREF	AFRICA	LP6005441-DNA_B11	[0.1, 0.18)	0.8759583742526834
noREF	AFRICA	LP6005441-DNA_B11	[0.18, 0.3)	0.8539785929227136
noREF	AFRICA	LP6005441-DNA_B11	[0.3, 0.51)	0.8208167450838462
noREF	AFRICA	LP6005443-DNA_A01	[0.01, 0.03)	0.9803802081466346
noREF	AFRICA	LP6005443-DNA_A01	[0.03, 0.06)	0.9714873318904718
noREF	AFRICA	LP6005443-DNA_A01	[0.06, 0.1)	0.9584090836602558
noREF	AFRICA	LP6005443-DNA_A01	[0.1, 0.18)	0.9451336124463742
noREF	AFRICA	LP6005443-DNA_A01	[0.18, 0.3)	0.9357501999771455
noREF	AFRICA	LP6005443-DNA_A01	[0.3, 0.51)	0.9161539389552418
noREF	AFRICA	LP6005443-DNA_E02	[0.01, 0.03)	0.9773810804029108
