ref	sample	acc	continent
SNPBag omni	212	96.71487288780637	AFR
SNPBag omni	213	97.52473740295326	AFR
SNPBag omni	214	97.03760085248896	AFR
SNPBag omni	215	97.30248135180392	AFR
SNPBag omni	22	97.098492921297	ME
SNPBag omni	23	97.3907748515756	ME
SNPBag omni	24	97.84289846247526	EUR
SNPBag omni	25	98.0727660222256	EUR
SNPBag omni	26	97.79875171258944	EUR
SNPBag omni	27	97.47450144618664	EUR
SNPBag omni	28	92.74471000152232	AFR
SNPBag omni	29	92.77363373420611	AFR
SNPBag omni	3	97.719592023139	EUR
SNPBag omni	30	92.9334754148272	AFR
SNPBag omni	31	93.12680773329274	AFR
SNPBag omni	32	96.14705434617142	OC
SNPBag omni	33	96.4439031816106	OC
SNPBag omni	34	96.749885827371	OC
SNPBag omni	35	96.55807581062568	OC
SNPBag omni	36	97.54148272187548	CSA
SNPBag omni	37	97.32683817932714	CSA
SNPBag omni	38	97.33597198964836	CSA
SNPBag omni	39	97.0634799817324	CSA
SNPBag omni	4	97.88552291064089	CSA
SNPBag omni	40	97.94184807428832	CSA
SNPBag omni	41	97.48211295478764	CSA
SNPBag omni	42	97.79114020398843	CSA
SNPBag omni	43	97.33292738620794	CSA
SNPBag omni	44	97.00106561120414	EAS
SNPBag omni	45	97.77743948850664	EAS
SNPBag omni	46	97.38316334297458	EAS
SNPBag omni	47	97.7409042472218	EAS
SNPBag omni	48	98.16714872887806	AMR
SNPBag omni	49	98.51575582280408	AMR
SNPBag omni	5	97.37098492921297	CSA
SNPBag omni	50	98.48074288323946	AMR
SNPBag omni	51	97.95707109149032	AMR
SNPBag omni	52	97.88095600548029	EAS
SNPBag omni	53	97.56127264423807	EAS
SNPBag omni	54	97.51408129091186	EAS
SNPBag omni	55	97.55518343735729	EAS
SNPBag omni	56	97.7393819455016	EAS
SNPBag omni	57	97.37707413609378	EAS
SNPBag omni	58	97.49124676510884	EAS
SNPBag omni	59	97.7393819455016	EAS
SNPBag omni	6	97.15634038666464	CSA
SNPBag omni	60	97.7409042472218	ME
SNPBag omni	61	97.26594611051912	ME
SNPBag omni	62	97.4455777135028	ME
SNPBag omni	63	97.48667985994824	ME
SNPBag omni	64	97.9053128330035	EUR
SNPBag omni	65	97.97838331557315	EUR
SNPBag omni	66	97.91292434160452	EUR
SNPBag omni	67	97.64652154056934	EUR
SNPBag omni	68	97.50038057543004	EAS
SNPBag omni	69	97.64804384228954	EAS
SNPBag omni	7	97.70741360937738	CSA
SNPBag omni	70	97.82919774699346	EAS
SNPBag omni	71	97.7165474196986	EAS
SNPBag omni	72	97.87486679859948	CSA
SNPBag omni	73	97.12284974882022	CSA
SNPBag omni	74	97.52473740295326	CSA
SNPBag omni	75	97.62977622164712	CSA
SNPBag omni	76	97.77743948850664	EAS
SNPBag omni	77	97.62673161820672	EAS
SNPBag omni	78	97.27355761912013	EAS
SNPBag omni	79	97.98751712589436	EAS
SNPBag omni	8	95.8151925711676	AFR
SNPBag omni	80	97.84137616075506	EAS
SNPBag omni	81	97.59171867864212	EAS
SNPBag omni	82	97.38925254985536	EAS
SNPBag omni	83	97.7287258334602	EAS
SNPBag omni	84	97.742426548942	CSA
SNPBag omni	85	97.34662810168976	CSA
SNPBag omni	86	97.7241589282996	CSA
SNPBag omni	87	97.70893591109758	CSA
SNPBag omni	88	98.26457603897092	AMR
SNPBag omni	89	98.47617597807886	AMR
SNPBag omni	9	96.53524128482265	AFR
SNPBag omni	90	98.18846095296088	AMR
SNPBag omni	91	98.10473435834982	AMR
SNPBag omni	92	97.59171867864212	EAS
SNPBag omni	93	97.61912010960572	EAS
SNPBag omni	94	97.91596894504492	EAS
SNPBag omni	95	97.60389709240371	EAS
SNPBag omni	96	97.96924950525194	CSA
SNPBag omni	97	97.57345105799968	CSA
SNPBag omni	98	97.69980210077638	CSA
SNPBag omni	99	97.01172172324554	CSA
SNPBag base	0	96.9386512406759	EUR
SNPBag base	1	97.1076267316182	EUR
SNPBag base	10	94.71609072918253	AFR
SNPBag base	100	95.73298827827676	AFR
SNPBag base	101	95.60968183894047	AFR
SNPBag base	102	95.38742578779112	AFR
SNPBag base	103	95.43918404627796	AFR
SNPBag base	104	98.27218754757192	AMR
SNPBag base	105	97.92510275536613	AMR
SNPBag base	106	97.91444664332472	AMR
SNPBag base	107	98.10473435834982	AMR
SNPBag base	108	91.57710458212816	AFR
SNPBag base	109	91.00624143705282	AFR
SNPBag base	11	95.21083878824784	AFR
SNPBag base	110	91.1432485918709	AFR
SNPBag base	111	91.40203988430508	AFR
SNPBag base	112	97.27507992084033	EAS
SNPBag base	113	97.56736185111887	EAS
SNPBag base	114	97.60085248896333	EAS
SNPBag base	115	97.49276906682904	EAS
SNPBag base	116	97.26746841223932	EAS
SNPBag base	117	97.70589130765718	EAS
SNPBag base	118	97.33292738620794	EAS
SNPBag base	119	97.34967270513016	EAS
SNPBag base	12	94.6932562033795	AFR
SNPBag base	120	96.4652154056934	ME
SNPBag base	121	96.7620642411326	ME
SNPBag base	122	96.7711980514538	ME
SNPBag base	123	96.765108844573	ME
SNPBag base	124	97.71045821281778	EAS
SNPBag base	125	97.4196985842594	EAS
SNPBag base	126	97.447100015223	EAS
SNPBag base	127	97.5780179631603	EAS
SNPBag base	128	97.27355761912013	EAS
SNPBag base	129	97.46384533414523	EAS
SNPBag base	13	95.09057695235197	AFR
SNPBag base	130	97.20353173999086	EAS
SNPBag base	131	97.27507992084033	EAS
SNPBag base	132	97.7150251179784	EUR
SNPBag base	133	97.64195463540874	EUR
SNPBag base	134	97.7591718678642	EUR
SNPBag base	135	97.7256812300198	EUR
SNPBag base	136	97.51712589435226	EAS
SNPBag base	137	97.63738773024814	EAS
SNPBag base	138	97.44862231694324	EAS
SNPBag base	139	97.32683817932714	EAS
SNPBag base	14	93.74790683513471	AFR
SNPBag base	140	96.7483635256508	ME
SNPBag base	141	96.86710305982643	ME
SNPBag base	142	96.7666311462932	ME
SNPBag base	143	96.7742426548942	ME
SNPBag base	144	96.06180544984016	OC
SNPBag base	145	96.32668594915512	OC
SNPBag base	146	96.23230324250264	OC
SNPBag base	147	95.7756127264424	OC
SNPBag base	148	96.20033490637844	OC
SNPBag base	149	95.91109757954028	OC
SNPBag base	15	91.9409346932562	AFR
SNPBag base	150	96.1379205358502	OC
SNPBag base	151	96.1303090272492	OC
SNPBag base	152	97.56431724767847	CSA
SNPBag base	153	96.97975338712132	CSA
SNPBag base	154	96.80468868929822	CSA
SNPBag base	155	97.24311158471608	CSA
SNPBag base	156	98.0788552291064	AMR
SNPBag base	157	98.01948546201858	AMR
SNPBag base	158	98.02253006545898	AMR
SNPBag base	159	97.83528695387426	AMR
SNPBag base	16	97.58867407520172	EUR
SNPBag base	160	97.32836048104735	EUR
SNPBag base	161	97.49733597198966	EUR
SNPBag base	162	96.90668290455169	EUR
SNPBag base	163	97.19592023138986	EUR
SNPBag base	164	89.71076267316182	AFR
SNPBag base	165	89.47480590653068	AFR
SNPBag base	166	89.0318161059522	AFR
SNPBag base	167	89.6772720353174	AFR
SNPBag base	168	97.20962094687168	EUR
SNPBag base	169	97.12893895570102	EUR
SNPBag base	17	97.92662505708633	EUR
SNPBag base	170	97.2689907139595	EUR
SNPBag base	171	97.13046125742122	EUR
SNPBag base	172	97.46080073070482	EAS
SNPBag base	173	97.65413304917034	EAS
SNPBag base	174	97.33292738620794	EAS
SNPBag base	175	96.96909727507992	EAS
SNPBag base	176	97.2689907139595	CSA
SNPBag base	177	97.01172172324554	CSA
SNPBag base	178	97.21114324859188	CSA
SNPBag base	179	97.05586847313138	CSA
SNPBag base	18	97.66783376465216	EUR
SNPBag base	180	97.97381641041254	AMR
SNPBag base	181	98.17171563403868	AMR
SNPBag base	182	98.35286953874258	AMR
SNPBag base	183	98.12300197899224	AMR
SNPBag base	184	97.32227127416654	EAS
SNPBag base	185	97.4227431876998	EAS
SNPBag base	186	97.36946262749277	EAS
SNPBag base	187	97.52321510123306	EAS
SNPBag base	188	97.51560359263206	EAS
SNPBag base	189	97.50951438575126	EAS
SNPBag base	19	97.49581367026946	EUR
SNPBag base	190	97.7211143248592	EAS
SNPBag base	191	97.36641802405236	EAS
SNPBag base	192	97.447100015223	EUR
SNPBag base	193	97.63586542852794	EUR
SNPBag base	194	97.37250723093317	EUR
SNPBag base	195	96.97214187852032	EUR
SNPBag base	196	97.46384533414523	CSA
SNPBag base	197	96.99497640432334	CSA
SNPBag base	198	96.98432029228194	CSA
SNPBag base	199	97.4120870756584	CSA
SNPBag base	2	96.97518648196072	EUR
SNPBag base	20	97.48363525650784	ME
SNPBag base	200	97.02085553356676	EAS
SNPBag base	201	97.57040645455928	EAS
SNPBag base	202	97.33597198964836	EAS
SNPBag base	203	97.19592023138986	EAS
SNPBag base	204	97.26746841223932	EAS
SNPBag base	205	97.34815040340996	EAS
SNPBag base	206	97.62673161820672	EAS
SNPBag base	207	97.439488506622	EAS
SNPBag base	208	97.29943674836352	EAS
SNPBag base	209	96.9371289389557	EAS
SNPBag base	21	96.53067437966205	ME
SNPBag base	210	97.30095905008372	EAS
SNPBag base	211	97.58106256660068	EAS
SNPBag base	212	95.73907748515757	AFR
SNPBag base	213	96.23382554422288	AFR
SNPBag base	214	95.74973359719895	AFR
SNPBag base	215	96.33277515603592	AFR
SNPBag base	22	96.7514081290912	ME
SNPBag base	23	96.96453036991932	ME
SNPBag base	24	97.69980210077638	EUR
SNPBag base	25	97.63434312680774	EUR
SNPBag base	26	97.47450144618664	EUR
SNPBag base	27	97.04064545592936	EUR
SNPBag base	28	92.04445121022988	AFR
SNPBag base	29	92.07641954635407	AFR
SNPBag base	3	97.4257877911402	EUR
SNPBag base	30	91.78718221951593	AFR
SNPBag base	31	92.2743187699802	AFR
SNPBag base	32	96.07550616532195	OC
SNPBag base	33	96.34038666463694	OC
SNPBag base	34	96.4560815953722	OC
SNPBag base	35	96.47130461257422	OC
SNPBag base	36	97.15177348150404	CSA
SNPBag base	37	96.98888719744254	CSA
SNPBag base	38	97.12284974882022	CSA
SNPBag base	39	96.57938803470849	CSA
SNPBag base	4	97.750038057543	CSA
SNPBag base	40	97.34053889480894	CSA
SNPBag base	41	97.27660222256053	CSA
SNPBag base	42	97.34662810168976	CSA
SNPBag base	43	96.98584259400214	CSA
SNPBag base	44	96.96757497335972	EAS
SNPBag base	45	97.27812452428071	EAS
SNPBag base	46	97.0787029989344	EAS
SNPBag base	47	97.51560359263206	EAS
SNPBag base	48	97.79114020398843	AMR
SNPBag base	49	97.97381641041254	AMR
SNPBag base	5	96.95235195615771	CSA
SNPBag base	50	97.94184807428832	AMR
SNPBag base	51	97.87486679859948	AMR
SNPBag base	52	97.4273100928604	EAS
SNPBag base	53	97.29639214492312	EAS
SNPBag base	54	97.45014461866342	EAS
SNPBag base	55	97.21571015375248	EAS
SNPBag base	56	97.50646978231086	EAS
SNPBag base	57	97.23397777439487	EAS
SNPBag base	58	97.36946262749277	EAS
SNPBag base	59	97.38620794641498	EAS
SNPBag base	6	96.58395493986907	CSA
SNPBag base	60	97.27812452428071	ME
SNPBag base	61	96.98127568884154	ME
SNPBag base	62	97.30095905008372	ME
SNPBag base	63	97.20657634343128	ME
SNPBag base	64	97.53539351499468	EUR
SNPBag base	65	97.52169279951286	EUR
SNPBag base	66	97.46993454102602	EUR
SNPBag base	67	97.37098492921297	EUR
SNPBag base	68	97.12893895570102	EAS
SNPBag base	69	97.17308570558684	EAS
SNPBag base	7	97.31465976556554	CSA
