Population,UMAP1,UMAP2,SP,Color
Finnish,24.501038,16.322145,EUR,#E15F99
Finnish,25.017817,16.87238,EUR,#E15F99
Finnish,25.096035,17.20536,EUR,#E15F99
Finnish,24.632797,16.531599,EUR,#E15F99
Finnish,25.007353,17.043636,EUR,#E15F99
Finnish,25.018095,17.128714,EUR,#E15F99
Finnish,25.119493,17.110815,EUR,#E15F99
Finnish,24.42794,16.791222,EUR,#E15F99
Finnish,25.168295,17.277601,EUR,#E15F99
Finnish,23.872307,16.7876,EUR,#E15F99
Finnish,24.189972,16.75931,EUR,#E15F99
Finnish,24.294968,16.339727,EUR,#E15F99
Finnish,24.304186,16.462194,EUR,#E15F99
Finnish,24.636019,16.783386,EUR,#E15F99
Finnish,24.58966,16.641191,EUR,#E15F99
Finnish,24.394964,16.782854,EUR,#E15F99
Finnish,24.543825,16.279009,EUR,#E15F99
Finnish,24.051815,17.08992,EUR,#E15F99
Finnish,25.103943,17.212719,EUR,#E15F99
Finnish,24.425293,16.397472,EUR,#E15F99
Finnish,24.090279,17.007748,EUR,#E15F99
Finnish,24.456486,16.585302,EUR,#E15F99
Finnish,24.65101,17.368582,EUR,#E15F99
Finnish,25.0768,16.962912,EUR,#E15F99
Finnish,24.827341,16.782232,EUR,#E15F99
Finnish,24.261705,16.508154,EUR,#E15F99
Finnish,25.177795,17.251356,EUR,#E15F99
Finnish,25.08082,16.995678,EUR,#E15F99
Finnish,24.937117,17.311129,EUR,#E15F99
Finnish,24.923092,16.882671,EUR,#E15F99
Finnish,24.840515,16.778744,EUR,#E15F99
Finnish,24.223412,17.05046,EUR,#E15F99
Finnish,23.87408,17.043129,EUR,#E15F99
Finnish,24.63554,16.481245,EUR,#E15F99
Finnish,24.307121,16.836164,EUR,#E15F99
Finnish,25.13925,17.247976,EUR,#E15F99
Finnish,25.034592,17.033636,EUR,#E15F99
Finnish,24.798756,16.601755,EUR,#E15F99
Finnish,24.484713,16.768385,EUR,#E15F99
Finnish,24.521408,16.237835,EUR,#E15F99
Finnish,24.410337,17.365812,EUR,#E15F99
Finnish,24.22067,16.330814,EUR,#E15F99
Finnish,24.499449,16.497467,EUR,#E15F99
Finnish,24.651546,16.753733,EUR,#E15F99
Finnish,24.498625,16.71621,EUR,#E15F99
Finnish,24.629862,16.484621,EUR,#E15F99
Finnish,25.048435,17.061977,EUR,#E15F99
Finnish,24.056791,17.05688,EUR,#E15F99
Finnish,24.58599,16.504946,EUR,#E15F99
Finnish,24.7201,16.547106,EUR,#E15F99
Finnish,25.155724,17.243006,EUR,#E15F99
Finnish,24.856411,17.121902,EUR,#E15F99
Finnish,24.647575,17.389282,EUR,#E15F99
Finnish,23.963644,16.758398,EUR,#E15F99
Finnish,24.041048,16.99548,EUR,#E15F99
Finnish,24.064503,16.662249,EUR,#E15F99
Finnish,24.545462,16.456074,EUR,#E15F99
Finnish,24.372074,17.132357,EUR,#E15F99
Finnish,25.25961,17.364069,EUR,#E15F99
Finnish,23.952187,16.787971,EUR,#E15F99
Finnish,24.254927,16.756008,EUR,#E15F99
Finnish,23.943409,16.738667,EUR,#E15F99
Finnish,24.262821,16.914368,EUR,#E15F99
Finnish,24.807259,16.684431,EUR,#E15F99
Finnish,24.653042,16.48467,EUR,#E15F99
Finnish,23.977236,16.636951,EUR,#E15F99
Finnish,23.887062,16.733244,EUR,#E15F99
Finnish,24.682775,16.645302,EUR,#E15F99
Finnish,24.383932,16.596966,EUR,#E15F99
Finnish,24.634396,17.384674,EUR,#E15F99
Finnish,24.566093,16.375202,EUR,#E15F99
Finnish,24.216957,16.888662,EUR,#E15F99
Finnish,24.991135,16.961731,EUR,#E15F99
Finnish,24.34346,17.00625,EUR,#E15F99
Finnish,24.407455,16.651491,EUR,#E15F99
Southern Han Chinese,-3.7404234,13.993493,EAS,#1CA71C
Southern Han Chinese,-4.042904,14.033452,EAS,#1CA71C
Southern Han Chinese,-4.006398,13.955454,EAS,#1CA71C
Southern Han Chinese,-3.569238,14.023251,EAS,#1CA71C
Southern Han Chinese,-3.1904452,13.925503,EAS,#1CA71C
Southern Han Chinese,-3.525708,13.911674,EAS,#1CA71C
Southern Han Chinese,-2.7475693,13.961587,EAS,#1CA71C
Southern Han Chinese,-3.665041,14.643122,EAS,#1CA71C
Southern Han Chinese,-3.2499008,13.833663,EAS,#1CA71C
Southern Han Chinese,-3.2287889,14.206279,EAS,#1CA71C
Southern Han Chinese,-3.3404179,14.026712,EAS,#1CA71C
Southern Han Chinese,-3.371378,14.526521,EAS,#1CA71C
Southern Han Chinese,-3.4768314,14.549377,EAS,#1CA71C
Southern Han Chinese,-3.5964825,14.465625,EAS,#1CA71C
Southern Han Chinese,-3.1149318,13.85841,EAS,#1CA71C
Southern Han Chinese,-2.9637895,13.5665865,EAS,#1CA71C
Southern Han Chinese,-3.082862,13.878473,EAS,#1CA71C
Southern Han Chinese,-2.7508752,13.476197,EAS,#1CA71C
Southern Han Chinese,-3.5127685,13.80896,EAS,#1CA71C
Southern Han Chinese,-2.8448417,13.539461,EAS,#1CA71C
Southern Han Chinese,-4.0826273,14.456223,EAS,#1CA71C
Southern Han Chinese,-3.7715185,14.592995,EAS,#1CA71C
Southern Han Chinese,-3.915814,14.6482115,EAS,#1CA71C
Southern Han Chinese,-4.24591,14.610823,EAS,#1CA71C
Southern Han Chinese,-4.240258,14.653069,EAS,#1CA71C
Southern Han Chinese,-4.3001595,14.675882,EAS,#1CA71C
Southern Han Chinese,-3.383477,14.024436,EAS,#1CA71C
Southern Han Chinese,-3.2268827,13.757945,EAS,#1CA71C
Southern Han Chinese,-3.3174477,13.948266,EAS,#1CA71C
Southern Han Chinese,-3.0077395,13.277529,EAS,#1CA71C
Southern Han Chinese,-3.249301,13.337413,EAS,#1CA71C
Southern Han Chinese,-2.8672447,13.321937,EAS,#1CA71C
Southern Han Chinese,-3.0323942,13.944285,EAS,#1CA71C
Southern Han Chinese,-2.8127413,13.746114,EAS,#1CA71C
Southern Han Chinese,-2.9760485,13.921412,EAS,#1CA71C
Southern Han Chinese,-2.5785441,13.997592,EAS,#1CA71C
Southern Han Chinese,-2.6323972,14.188125,EAS,#1CA71C
Southern Han Chinese,-2.5368109,14.045293,EAS,#1CA71C
Southern Han Chinese,-2.3594463,13.803743,EAS,#1CA71C
Southern Han Chinese,-2.7649503,14.211692,EAS,#1CA71C
Southern Han Chinese,-2.4550705,14.059899,EAS,#1CA71C
Southern Han Chinese,-3.7468076,13.863513,EAS,#1CA71C
Southern Han Chinese,-4.276182,14.417727,EAS,#1CA71C
Southern Han Chinese,-4.310364,14.308834,EAS,#1CA71C
Southern Han Chinese,-2.364864,13.76335,EAS,#1CA71C
